Round,Accuracy,Credibility_C0
1,10.0,0.005
2,14.12,5e-05
3,18.32,5.000000000000001e-07
4,24.08,5.000000000000001e-09
5,31.76,5.000000000000001e-11
6,42.14,5.000000000000001e-13
7,52.48,5.000000000000001e-15
8,52.27,5.000000000000001e-17
9,51.83,5.000000000000001e-19
10,59.45,5.000000000000001e-21
11,55.41,5.0000000000000014e-23
12,61.1,5.000000000000001e-25
13,62.43,5.0000000000000016e-27
14,65.92,5.0000000000000015e-29
15,68.21,5.000000000000001e-31
16,68.7,5.0000000000000016e-33
17,68.48,5.000000000000002e-35
18,70.17,5.000000000000002e-37
19,70.53,5.0000000000000024e-39
20,72.44,5.000000000000003e-41
21,73.5,5.0000000000000026e-43
22,72.18,5.000000000000003e-45
23,73.18,5.000000000000003e-47
24,73.76,5.000000000000003e-49
25,73.03,5.000000000000003e-51
26,74.44,5.000000000000003e-53
27,74.99,5.000000000000003e-55
28,74.36,5.000000000000003e-57
29,74.86,5.000000000000003e-59
30,74.66,5.0000000000000026e-61
31,75.91,5.000000000000002e-63
32,74.81,5.000000000000002e-65
33,75.75,5.0000000000000025e-67
34,73.53,5.000000000000002e-69
35,76.57,5.000000000000002e-71
36,76.18,5.0000000000000023e-73
37,75.28,5.000000000000003e-75
38,77.61,5.000000000000003e-77
39,75.83,5.000000000000003e-79
40,77.21,5.000000000000004e-81
41,77.48,5.0000000000000035e-83
42,76.63,5.0000000000000036e-85
43,78.36,5.000000000000004e-87
44,77.37,5.000000000000004e-89
45,77.65,5.000000000000004e-91
46,76.52,5.000000000000004e-93
47,77.87,5.0000000000000044e-95
48,77.67,5.000000000000005e-97
49,77.16,5.0000000000000046e-99
50,77.72,5.0000000000000045e-101
51,78.57,5.000000000000005e-103
52,77.81,5.000000000000005e-105
53,79.47,5.000000000000005e-107
54,77.26,5.000000000000005e-109
55,80.01,5.000000000000005e-111
56,77.32,5.000000000000005e-113
57,79.18,5.000000000000005e-115
58,77.87,5.000000000000005e-117
59,78.54,5.000000000000005e-119
60,79.72,5.000000000000006e-121
