Round,Accuracy,Credibility_C0
1,10.0,0.005
2,26.91,0.0001
3,36.58,0.0001
4,55.23,0.0001
5,55.65,0.0001
6,61.03,0.0001
7,61.59,0.0001
8,62.67,0.0001
9,62.68,0.0001
10,61.93,0.0001
11,64.55,0.0001
12,64.28,0.0001
13,66.74,0.0001
14,68.32,0.0001
15,68.32,0.0001
16,68.85,0.0001
17,70.22,0.0001
18,70.96,0.0001
19,71.68,0.0001
20,71.86,0.0001
21,72.34,0.0001
22,73.13,0.0001
23,73.29,0.0001
24,72.93,0.0001
25,72.07,0.0001
26,74.18,0.0001
27,74.61,0.0001
28,74.67,0.0001
29,74.58,0.0001
30,74.7,0.0001
31,75.35,0.0001
32,75.58,0.0001
33,75.46,0.0001
34,76.24,0.0001
35,76.66,0.0001
36,76.95,0.0001
37,76.75,0.0001
38,75.87,0.0001
39,76.32,0.0001
40,76.02,0.0001
41,76.67,0.0001
42,77.13,0.0001
43,77.37,0.0001
44,78.08,0.0001
45,77.9,0.0001
46,77.29,0.0001
47,78.34,0.0001
48,78.11,0.0001
49,77.22,0.0001
50,77.78,0.0001
51,78.35,0.0001
52,78.6,0.0001
53,76.02,0.0001
54,78.85,0.0001
55,78.72,0.0001
56,78.83,0.0001
57,79.0,0.0001
58,79.41,0.0001
59,79.09,0.0001
60,78.84,0.0001
